"KEY","CODE","DESCRIPTION","TEXT","TITLE",
"airToAirHeatRecoveryUserDefined","IfcAirToAirHeatRecoveryUSERDEFINED","User-defined air to air heat recovery type.","air to air heat recovery user defined","IfcAirToAirHeatRecovery.USERDEFINED",
"airToAirHeatRecoveryNotdefined","IfcAirToAirHeatRecoveryNOTDEFINED","Undefined air to air heat recovery type.","air to air heat recovery notdefined","IfcAirToAirHeatRecovery.NOTDEFINED",
"boilerSteam","IfcBoilerSTEAM","Steam boiler.","boiler steam","IfcBoiler.STEAM",
"boilerWater","IfcBoilerWATER","Water boiler.","boiler water","IfcBoiler.WATER",
"boilerUserDefined","IfcBoilerUSERDEFINED","User-defined Boiler type.","boiler user defined","IfcBoiler.USERDEFINED",
"boilerNotdefined","IfcBoilerNOTDEFINED","Undefined Boiler type.","boiler notdefined","IfcBoiler.NOTDEFINED",
"burnerUserDefined","IfcBurnerUSERDEFINED","User-defined burner type.","burner user defined","IfcBurner.USERDEFINED",
"burnerNotdefined","IfcBurnerNOTDEFINED","Undefined burner type.","burner notdefined","IfcBurner.NOTDEFINED",
"chillerAircooled","IfcChillerAIRCOOLED","Air cooled chiller.","chiller aircooled","IfcChiller.AIRCOOLED",
"chillerHeatRecovery","IfcChillerHEATRECOVERY","Heat recovery chiller.","chiller heat recovery","IfcChiller.HEATRECOVERY",
"chillerWatercooled","IfcChillerWATERCOOLED","Water cooled chiller.","chiller watercooled","IfcChiller.WATERCOOLED",
"chillerUserDefined","IfcChillerUSERDEFINED","User-defined chiller type.","chiller user defined","IfcChiller.USERDEFINED",
"chillerNotdefined","IfcChillerNOTDEFINED","Undefined chiller type.","chiller notdefined","IfcChiller.NOTDEFINED",
"dxcoolingCoil","IfcCoilDXCOOLINGCOIL","Cooling coil using a refrigerant to cool the air stream directly.","dxcooling coil","IfcCoil.DXCOOLINGCOIL",
"electricheatingCoil","IfcCoilELECTRICHEATINGCOIL","Heating coil using electricity as a heating source.","electricheating coil","IfcCoil.ELECTRICHEATINGCOIL",
"gasheatingCoil","IfcCoilGASHEATINGCOIL","Heating coil using gas as a heating source.","gasheating coil","IfcCoil.GASHEATINGCOIL",
"hydronicCoil","IfcCoilHYDRONICCOIL","Cooling or Heating coil that uses a hydronic fluid as a cooling or heating source.","hydronic coil","IfcCoil.HYDRONICCOIL",
"steamheatingCoil","IfcCoilSTEAMHEATINGCOIL","Heating coil using steam as heating source.","steamheating coil","IfcCoil.STEAMHEATINGCOIL",
"watercoolingCoil","IfcCoilWATERCOOLINGCOIL","Cooling coil using chilled water. HYDRONICCOIL supercedes this enumerator.","watercooling coil","IfcCoil.WATERCOOLINGCOIL",
"waterheatingCoil","IfcCoilWATERHEATINGCOIL","Heating coil using hot water as a heating source. HYDRONICCOIL supercedes this enumerator.","waterheating coil","IfcCoil.WATERHEATINGCOIL",
"coilUserDefined","IfcCoilUSERDEFINED","User-defined coil type.","coil user defined","IfcCoil.USERDEFINED",
"coilNotdefined","IfcCoilNOTDEFINED","Undefined coil type.","coil notdefined","IfcCoil.NOTDEFINED",
"compressorBooster","IfcCompressorBOOSTER","Positive-displacement reciprocating compressor where pressure is increased by a booster.","compressor booster","IfcCompressor.BOOSTER",
"compressorDynamic","IfcCompressorDYNAMIC","The pressure of refrigerant vapor is increased by a continuous transfer of angular momentum from a rotating member to the vapor followed by conversion of this momentum into static pressure.","compressor dynamic","IfcCompressor.DYNAMIC",
"compressorHermetic","IfcCompressorHERMETIC","Positive-displacement reciprocating compressor where the motor and compressor are contained within the same housing, with the motor shaft integral with the compressor crankshaft and the motor in contact with refrigerant.","compressor hermetic","IfcCompressor.HERMETIC",
"compressorOpentype","IfcCompressorOPENTYPE","Positive-displacement reciprocating compressor where the shaft extends through a seal in the crankcase for an external drive.","compressor opentype","IfcCompressor.OPENTYPE",
"compressorReciprocating","IfcCompressorRECIPROCATING","Positive-displacement compressor using a piston driven by a connecting rod from a crankshaft.","compressor reciprocating","IfcCompressor.RECIPROCATING",
"compressorRollingPiston","IfcCompressorROLLINGPISTON","Positive-displacement rotary compressor using a roller mounted on the eccentric of a shaft with a single vane in the nonrotating cylindrical housing.","compressor rolling piston","IfcCompressor.ROLLINGPISTON",
"compressorRotary","IfcCompressorROTARY","Positive-displacement compressor using a roller or rotor device.","compressor rotary","IfcCompressor.ROTARY",
"compressorRotaryvane","IfcCompressorROTARYVANE","Positive-displacement rotary compressor using a roller mounted on the eccentric of a shaft with multiple vanes in the nontotating cylindrical housing.","compressor rotaryvane","IfcCompressor.ROTARYVANE",
"compressorScroll","IfcCompressorSCROLL","Positive-displacement compressor using two inter-fitting, spiral-shaped scroll members.","compressor scroll","IfcCompressor.SCROLL",
"compressorSemiHermetic","IfcCompressorSEMIHERMETIC","Positive-displacement reciprocating compressor where the hermetic compressors use bolted construction amenable to field repair.","compressor semi hermetic","IfcCompressor.SEMIHERMETIC",
"compressorSingleScrew","IfcCompressorSINGLESCREW","Positive-displacement rotary compressor using a single cylindrical main rotor that works with a pair of gate rotors.","compressor single screw","IfcCompressor.SINGLESCREW",
"compressorSingleStage","IfcCompressorSINGLESTAGE","Positive-displacement reciprocating compressor where vapor is compressed in a single stage.","compressor single stage","IfcCompressor.SINGLESTAGE",
"compressorTrochoidal","IfcCompressorTROCHOIDAL","Positive-displacement compressor using a rolling motion of one circle outside or inside the circumference of a basic circle and produce either epitrochoids or hypotrochoids.","compressor trochoidal","IfcCompressor.TROCHOIDAL",
"compressorTwinscrew","IfcCompressorTWINSCREW","Positive-displacement rotary compressor using two mating helically grooved rotors, male (lobes) and female (flutes) in a stationary housing with inlet and outlet gas ports.","compressor twinscrew","IfcCompressor.TWINSCREW",
"compressorWeldedshellhermetic","IfcCompressorWELDEDSHELLHERMETIC","Positive-displacement reciprocating compressor where the motor compressor is mounted inside a steel shell, which, in turn is sealed by welding.","compressor weldedshellhermetic","IfcCompressor.WELDEDSHELLHERMETIC",
"compressorUserDefined","IfcCompressorUSERDEFINED","User-defined compressor type.","compressor user defined","IfcCompressor.USERDEFINED",
"compressorNotdefined","IfcCompressorNOTDEFINED","Undefined compressor type.","compressor notdefined","IfcCompressor.NOTDEFINED",
"condenserAircooled","IfcCondenserAIRCOOLED","A condenser in which heat is transferred to an air-stream.","condenser aircooled","IfcCondenser.AIRCOOLED",
"condenserEvaporativecooled","IfcCondenserEVAPORATIVECOOLED","A condenser that is cooled evaporatively.","condenser evaporativecooled","IfcCondenser.EVAPORATIVECOOLED",
"condenserWatercooled","IfcCondenserWATERCOOLED","Water-cooled condenser with unspecified operation.","condenser watercooled","IfcCondenser.WATERCOOLED",
"condenserWatercooledbrazedplate","IfcCondenserWATERCOOLEDBRAZEDPLATE","Water-cooled condenser with plates brazed together to form an assembly of separate channels.","condenser watercooledbrazedplate","IfcCondenser.WATERCOOLEDBRAZEDPLATE",
"condenserWatercooledshellcoil","IfcCondenserWATERCOOLEDSHELLCOIL","Water-cooled condenser with cooling water circulated through one or more continuous or assembled coils contained within the shell.","condenser watercooledshellcoil","IfcCondenser.WATERCOOLEDSHELLCOIL",
"condenserWatercooledshelltube","IfcCondenserWATERCOOLEDSHELLTUBE","Water-cooled condenser with cooling water circulated through one or more tubes contained within the shell.","condenser watercooledshelltube","IfcCondenser.WATERCOOLEDSHELLTUBE",
"condenserWatercooledtubeintube","IfcCondenserWATERCOOLEDTUBEINTUBE","Water-cooled condenser consisting of one or more assemblies of two tubes, one within the other.","condenser watercooledtubeintube","IfcCondenser.WATERCOOLEDTUBEINTUBE",
"condenserUserDefined","IfcCondenserUSERDEFINED","User-defined condenser type.","condenser user defined","IfcCondenser.USERDEFINED",
"condenserNotdefined","IfcCondenserNOTDEFINED","Undefined condenser type.","condenser notdefined","IfcCondenser.NOTDEFINED",
"cooledBeamActive","IfcCooledBeamACTIVE","An active or ventilated cooled beam provides cooling (and heating) but can also function as an air terminal in a ventilation system.","cooled beam active","IfcCooledBeam.ACTIVE",
"cooledBeamPassive","IfcCooledBeamPASSIVE","A passive or static cooled beam provides cooling (and heating) to a room or zone.","cooled beam passive","IfcCooledBeam.PASSIVE",
"cooledBeamUserDefined","IfcCooledBeamUSERDEFINED","User-defined cooled beam type.","cooled beam user defined","IfcCooledBeam.USERDEFINED",
"cooledBeamNotdefined","IfcCooledBeamNOTDEFINED","Undefined cooled beam type.","cooled beam notdefined","IfcCooledBeam.NOTDEFINED",
"mobileTelecommunicationsApplianceRemoteradiounit","IfcMobileTelecommunicationsApplianceREMOTERADIOUNIT","A remote radio unit is a component of a distributed base transceiver station that converts digital baseband signals into high-frequency (rf) signals and sends high-frequency (rf) signals to the antenna for radiation.","mobile telecommunications appliance remoteradiounit","IfcMobileTelecommunicationsAppliance.REMOTERADIOUNIT",
"mobileTelecommunicationsApplianceRemoteunit","IfcMobileTelecommunicationsApplianceREMOTEUNIT","A remote unit is a device used to amplify a base station signal.","mobile telecommunications appliance remoteunit","IfcMobileTelecommunicationsAppliance.REMOTEUNIT",
"mobileTelecommunicationsApplianceServiceGprsSupportNode","IfcMobileTelecommunicationsApplianceSERVICEGPRSSUPPORTNODE","The service GPRS support node (SGSN) is a component of the GPRS core network. It is the GPRS support node of mobile station service, and it can achieve mobility management and packet routing and transfer.","mobile telecommunications appliance service gprs support node","IfcMobileTelecommunicationsAppliance.SERVICE_GPRS_SUPPORT_NODE",
"mobileTelecommunicationsApplianceSubscriberServer","IfcMobileTelecommunicationsApplianceSUBSCRIBERSERVER","It is a database in charge of the management of mobile subscribers. It can be an authentication center (AuC)  or a home location register (HLR).","mobile telecommunications appliance subscriber server","IfcMobileTelecommunicationsAppliance.SUBSCRIBERSERVER",
"mobileTelecommunicationsApplianceUserDefined","IfcMobileTelecommunicationsApplianceUSERDEFINED","User-defined type","mobile telecommunications appliance user defined","IfcMobileTelecommunicationsAppliance.USERDEFINED",
"mobileTelecommunicationsApplianceNotdefined","IfcMobileTelecommunicationsApplianceNOTDEFINED","Undefined type.","mobile telecommunications appliance notdefined","IfcMobileTelecommunicationsAppliance.NOTDEFINED",
"motorConnectionBeltdrive","IfcMotorConnectionBELTDRIVE","An indirect connection made through the medium of a shaped, flexible continuous loop.","motor connection beltdrive","IfcMotorConnection.BELTDRIVE",
"motorConnectionCoupling","IfcMotorConnectionCOUPLING","An indirect connection made through the medium of the viscosity of a fluid.","motor connection coupling","IfcMotorConnection.COUPLING",
"motorConnectionDirectDrive","IfcMotorConnectionDIRECTDRIVE","A direct, physical connection made between the motor and the driven device.","motor connection direct drive","IfcMotorConnection.DIRECTDRIVE",
"motorConnectionUserDefined","IfcMotorConnectionUSERDEFINED","User-defined type.","motor connection user defined","IfcMotorConnection.USERDEFINED",
"motorConnectionNotdefined","IfcMotorConnectionNOTDEFINED","Undefined type.","motor connection notdefined","IfcMotorConnection.NOTDEFINED",
"audiovisualOutlet","IfcOutletAUDIOVISUALOUTLET","An outlet used for an audio or visual device.","audiovisual outlet","IfcOutlet.AUDIOVISUALOUTLET",
"communicationsOutlet","IfcOutletCOMMUNICATIONSOUTLET","An outlet used for connecting communications equipment.","communications outlet","IfcOutlet.COMMUNICATIONSOUTLET",
"dataOutlet","IfcOutletDATAOUTLET","An outlet used for connecting data communications equipment.","data outlet","IfcOutlet.DATAOUTLET",
"powerOutlet","IfcOutletPOWEROUTLET","An outlet used for connecting electrical devices requiring power.","power outlet","IfcOutlet.POWEROUTLET",
"telephoneOutlet","IfcOutletTELEPHONEOUTLET","An outlet used for connecting telephone communications equipment.","telephone outlet","IfcOutlet.TELEPHONEOUTLET",
"outletUserDefined","IfcOutletUSERDEFINED","User-defined type.","outlet user defined","IfcOutlet.USERDEFINED",
"outletNotdefined","IfcOutletNOTDEFINED","Undefined type.<","outlet notdefined","IfcOutlet.NOTDEFINED",
"protectiveDeviceAntiArcingDevice","IfcProtectiveDeviceANTIARCINGDEVICE","An anti-arcing device is an equipment that prevents electric arc.","protective device anti arcing device","IfcProtectiveDevice.ANTI_ARCING_DEVICE",
"protectiveDeviceCircuitBreaker","IfcProtectiveDeviceCIRCUITBREAKER","A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time and breaking, current under specified abnormal circuit conditions such as those of short circuit.","protective device circuit breaker","IfcProtectiveDevice.CIRCUITBREAKER",
"protectiveDeviceEarthingswitch","IfcProtectiveDeviceEARTHINGSWITCH","A safety device used to open or close a circuit when there is no current. Used to isolate a part of a circuit, a machine, a part of an overhead line or an underground line so that maintenance can be safely conducted.","protective device earthingswitch","IfcProtectiveDevice.EARTHINGSWITCH",
"protectiveDeviceEarthleakagecircuitbreaker","IfcProtectiveDeviceEARTHLEAKAGECIRCUITBREAKER","A device that opens, closes, or isolates a circuit and has short circuit protection but no overload protection.  It attempts to break the circuit when there is a leakage of current from phase to earth, by measuring voltage on the earth conductor.","protective device earthleakagecircuitbreaker","IfcProtectiveDevice.EARTHLEAKAGECIRCUITBREAKER",
"protectiveDeviceFuseDisconnector","IfcProtectiveDeviceFUSEDISCONNECTOR","A device that will electrically open the circuit after a period of prolonged, abnormal current flow.","protective device fuse disconnector","IfcProtectiveDevice.FUSEDISCONNECTOR",
"protectiveDeviceResidualcurrentcircuitbreaker","IfcProtectiveDeviceRESIDUALCURRENTCIRCUITBREAKER","A device that opens, closes, or isolates a circuit and has short circuit and overload protection.  It attempts to break the circuit when there is a difference in current between any two phases.  May also be referred to as 'Ground Fault Interupter (GFI)' or 'Ground Fault Circuit Interuptor (GFCI)'","protective device residualcurrentcircuitbreaker","IfcProtectiveDevice.RESIDUALCURRENTCIRCUITBREAKER",
"protectiveDeviceResidualcurrentswitch","IfcProtectiveDeviceRESIDUALCURRENTSWITCH","A device that opens, closes or isolates a circuit and has no short circuit or overload protection.  May also be identified as a 'ground fault switch'.","protective device residualcurrentswitch","IfcProtectiveDevice.RESIDUALCURRENTSWITCH",
"protectiveDeviceSparkgap","IfcProtectiveDeviceSPARKGAP","A spark gap is a device used to connect a circuit to earth in the event of a fault in live circuits.","protective device sparkgap","IfcProtectiveDevice.SPARKGAP",
"protectiveDeviceVaristor","IfcProtectiveDeviceVARISTOR","A high voltage surge protection device.","protective device varistor","IfcProtectiveDevice.VARISTOR",
"protectiveDeviceVoltageLimiter","IfcProtectiveDeviceVOLTAGELIMITER","a voltage limiter is an equipment that prevents the over voltage.","protective device voltage limiter","IfcProtectiveDevice.VOLTAGELIMITER",
"protectiveDeviceUserDefined","IfcProtectiveDeviceUSERDEFINED","User-defined type.","protective device user defined","IfcProtectiveDevice.USERDEFINED",
"protectiveDeviceNotdefined","IfcProtectiveDeviceNOTDEFINED","Undefined type.","protective device notdefined","IfcProtectiveDevice.NOTDEFINED",
"protectiveDeviceTrippingUnitElectroMagnetic","IfcProtectiveDeviceTrippingUnitELECTROMAGNETIC","A tripping unit activated by electromagnetic action.","protective device tripping unit electro magnetic","IfcProtectiveDeviceTrippingUnit.ELECTROMAGNETIC",
"protectiveDeviceTrippingUnitElectronic","IfcProtectiveDeviceTrippingUnitELECTRONIC","A tripping unit activated by electronic action.","protective device tripping unit electronic","IfcProtectiveDeviceTrippingUnit.ELECTRONIC",
"protectiveDeviceTrippingUnitResidualCurrent","IfcProtectiveDeviceTrippingUnitRESIDUALCURRENT","A tripping unit activated by residual current detection.","protective device tripping unit residual current","IfcProtectiveDeviceTrippingUnit.RESIDUALCURRENT",
"protectiveDeviceTrippingUnitThermal","IfcProtectiveDeviceTrippingUnitTHERMAL","A tripping unit activated by thermal action.","protective device tripping unit thermal","IfcProtectiveDeviceTrippingUnit.THERMAL",
"protectiveDeviceTrippingUnitUserDefined","IfcProtectiveDeviceTrippingUnitUSERDEFINED","User-defined type.","protective device tripping unit user defined","IfcProtectiveDeviceTrippingUnit.USERDEFINED",
"protectiveDeviceTrippingUnitNotdefined","IfcProtectiveDeviceTrippingUnitNOTDEFINED","Undefined type.","protective device tripping unit notdefined","IfcProtectiveDeviceTrippingUnit.NOTDEFINED",
"collectorSolarDevice","IfcSolarDeviceSOLARCOLLECTOR","A device that converts solar radiation into thermal energy (heating water, etc.).","collector solar device","IfcSolarDevice.SOLARCOLLECTOR",
"panelSolarDevice","IfcSolarDeviceSOLARPANEL","A device that converts solar radiation into electric current.","panel solar device","IfcSolarDevice.SOLARPANEL",
"solarDeviceUserDefined","IfcSolarDeviceUSERDEFINED","User-defined type.","solar device user defined","IfcSolarDevice.USERDEFINED",
"solarDeviceNotdefined","IfcSolarDeviceNOTDEFINED","Undefined type.","solar device notdefined","IfcSolarDevice.NOTDEFINED",
"switchingDeviceContactor","IfcSwitchingDeviceCONTACTOR","An electrical device used to control the flow of power in a circuit on or off.","switching device contactor","IfcSwitchingDevice.CONTACTOR",
"switchingDeviceDimmerSwitch","IfcSwitchingDeviceDIMMERSWITCH","A dimmer switch has variable positions, and may adjust electrical power or other setting (according to the switched port type).","switching device dimmer switch","IfcSwitchingDevice.DIMMERSWITCH",
"switchingDeviceEmergencyStop","IfcSwitchingDeviceEMERGENCYSTOP","An emergency stop device acts to remove as quickly as possible any danger that may have arisen unexpectedly.","switching device emergency stop","IfcSwitchingDevice.EMERGENCYSTOP",
"switchingDeviceKeypad","IfcSwitchingDeviceKEYPAD","A set of buttons or switches, each potentially applicable to a different device.","switching device keypad","IfcSwitchingDevice.KEYPAD",
"switchingDeviceMomentarySwitch","IfcSwitchingDeviceMOMENTARYSWITCH","A momentary switch has no position, and may trigger some action to occur.","switching device momentary switch","IfcSwitchingDevice.MOMENTARYSWITCH",
"switchingDeviceRelay","IfcSwitchingDeviceRELAY","A device designed to produce sudden predetermined changes in one or more electric output circuits, when certain conditions are fulfilled in the electric input circuits controlling the device.
Note: definition from IEC 60050 151-13-31.","switching device relay","IfcSwitchingDevice.RELAY",
"switchingDeviceSelectorSwitch","IfcSwitchingDeviceSELECTORSWITCH","A selector switch has multiple positions, and may change the source or level of power or other setting (according to the switched port type).","switching device selector switch","IfcSwitchingDevice.SELECTORSWITCH",
"switchingDeviceStarter","IfcSwitchingDeviceSTARTER","A starter is a switch which in the closed position controls the application of power to an electrical device.","switching device starter","IfcSwitchingDevice.STARTER",
"switchingDeviceStartAndStopEquipment","IfcSwitchingDeviceSTARTANDSTOPEQUIPMENT","A switch for alternatively closing and opening one or more electric circuits.","switching device start and stop equipment","IfcSwitchingDevice.START_AND_STOP_EQUIPMENT",
"switchingDeviceSwitchDisconnector","IfcSwitchingDeviceSWITCHDISCONNECTOR","A switch disconnector is a switch which in the open position satisfies the isolating requirements specified for a disconnector.","switching device switch disconnector","IfcSwitchingDevice.SWITCHDISCONNECTOR",
"switchingDeviceToggleSwitch","IfcSwitchingDeviceTOGGLESWITCH","A toggle switch has two positions, and may enable or isolate electrical power or other setting (according to the switched port type).","switching device toggle switch","IfcSwitchingDevice.TOGGLESWITCH",
"switchingDeviceUserDefined","IfcSwitchingDeviceUSERDEFINED","User-defined type.","switching device user defined","IfcSwitchingDevice.USERDEFINED",
"switchingDeviceNotdefined","IfcSwitchingDeviceNOTDEFINED","Undefined type.","switching device notdefined","IfcSwitchingDevice.NOTDEFINED",
"transformerChopper","IfcTransformerCHOPPER","A chopper is an electronic power DC convertor without an intermediate AC link giving a variable output voltage by varying the periods of conduction and non-conduction in an adjustable ratio.","transformer chopper","IfcTransformer.CHOPPER",
"transformerCombined","IfcTransformerCOMBINED","A transformer that changes different quantities between circuits.","transformer combined","IfcTransformer.COMBINED",
"transformerCurrent","IfcTransformerCURRENT","A transformer that changes the current between circuits.","transformer current","IfcTransformer.CURRENT",
"transformerFrequency","IfcTransformerFREQUENCY","A transformer that changes the frequency between circuits.","transformer frequency","IfcTransformer.FREQUENCY",
"transformerInverter","IfcTransformerINVERTER","A transformer that converts from direct current (DC) to alternating current (AC).","transformer inverter","IfcTransformer.INVERTER",
"transformerRectifier","IfcTransformerRECTIFIER","A transformer that converts from alternating current (AC) to direct current (DC).","transformer rectifier","IfcTransformer.RECTIFIER",
"transformerVoltage","IfcTransformerVOLTAGE","A transformer that changes the voltage between circuits.","transformer voltage","IfcTransformer.VOLTAGE",
"transformerUserDefined","IfcTransformerUSERDEFINED","User-defined type.","transformer user defined","IfcTransformer.USERDEFINED",
"transformerNotdefined","IfcTransformerNOTDEFINED","Undefined type.","transformer notdefined","IfcTransformer.NOTDEFINED",
"airTerminalDiffuser","IfcAirTerminalDIFFUSER","An outlet discharging supply air in various directions and planes.","air terminal diffuser","IfcAirTerminal.DIFFUSER",
"airTerminalGrille","IfcAirTerminalGRILLE","A covering for any area through which air passes.","air terminal grille","IfcAirTerminal.GRILLE",
"airTerminalLouvre","IfcAirTerminalLOUVRE","A rectilinear louvre.","air terminal louvre","IfcAirTerminal.LOUVRE",
"airTerminalRegister","IfcAirTerminalREGISTER","A grille typically equipped with a damper or control valve.","air terminal register","IfcAirTerminal.REGISTER",
"airTerminalUserDefined","IfcAirTerminalUSERDEFINED","User-defined air terminal type.","air terminal user defined","IfcAirTerminal.USERDEFINED",
"communicationsApplianceNetworkAppliance","IfcCommunicationsApplianceNETWORKAPPLIANCE","A network appliance performs a dedicated function such as firewall protection, content filtering, load balancing, or equipment management.","communications appliance network appliance","IfcCommunicationsAppliance.NETWORKAPPLIANCE",
"communicationsApplianceNetworkBridge","IfcCommunicationsApplianceNETWORKBRIDGE","A network bridge connects multiple network segments at the data link layer (layer 2) of the OSI model, and the term layer 2 switch is very often used interchangeably with bridge.","communications appliance network bridge","IfcCommunicationsAppliance.NETWORKBRIDGE",
"communicationsApplianceNetworkhub","IfcCommunicationsApplianceNETWORKHUB","A network hub connects multiple network segments at the physical layer (layer 1) of the OSI model.","communications appliance networkhub","IfcCommunicationsAppliance.NETWORKHUB",
"communicationsApplianceOpticallineterminal","IfcCommunicationsApplianceOPTICALLINETERMINAL","An optical line terminal is a service provider endpoint of a passive or active optical network. It is the terminal equipment for connecting fiber optic trunks.","communications appliance opticallineterminal","IfcCommunicationsAppliance.OPTICALLINETERMINAL",
"communicationsApplianceOpticalnetworkunit","IfcCommunicationsApplianceOPTICALNETWORKUNIT","An optical network unit is a kind of optical transmission network connection equipment which is installed at user side.","communications appliance opticalnetworkunit","IfcCommunicationsAppliance.OPTICALNETWORKUNIT",
"communicationsAppliancePrinter","IfcCommunicationsAppliancePRINTER","A machine that has the primary function of printing text and/or graphics onto paper or other media.","communications appliance printer","IfcCommunicationsAppliance.PRINTER",
"communicationsApplianceRadioblockcenter","IfcCommunicationsApplianceRADIOBLOCKCENTER","A radio block center is a specialised computing device in railway with specification for generating Movement Authorities (MA) and transmitting it to trains. It gets information from signalling control and from the trains in its section.","communications appliance radioblockcenter","IfcCommunicationsAppliance.RADIOBLOCKCENTER",
"communicationsApplianceRepeater","IfcCommunicationsApplianceREPEATER","A repeater is an electronic device that receives a signal and retransmits it at a higher level and/or higher power, or onto the other side of an obstruction, so that the signal can cover longer distances without degradation.","communications appliance repeater","IfcCommunicationsAppliance.REPEATER",
"communicationsApplianceRouter","IfcCommunicationsApplianceROUTER","A router is a networking device whose software and hardware are usually tailored to the tasks of routing and forwarding information. For example, on the Internet, information is directed to various paths by routers.","communications appliance router","IfcCommunicationsAppliance.ROUTER",
"communicationsApplianceScanner","IfcCommunicationsApplianceSCANNER","A machine that has the primary function of scanning the content of printed matter and converting it to digital format that can be stored in a computer.","communications appliance scanner","IfcCommunicationsAppliance.SCANNER",
"communicationsApplianceTeleCommand","IfcCommunicationsApplianceTELECOMMAND","A system sending command to control and monitor the switches and circuit breakers or systems directly or not connected (e.g. via wires) within the traction power system remotely.","communications appliance tele command","IfcCommunicationsAppliance.TELECOMMAND",
"communicationsApplianceTelephonyExchange","IfcCommunicationsApplianceTELEPHONYEXCHANGE","A telephony exchange is a device that ensures the routing of telephone calls and communications.","communications appliance telephony exchange","IfcCommunicationsAppliance.TELEPHONYEXCHANGE",
"communicationsApplianceTransitionComponent","IfcCommunicationsApplianceTRANSITIONCOMPONENT","A transition component is a minor active device that converts electric signals to optical signals at the sender, and converts optical signals to electric signals at the receiver.","communications appliance transition component","IfcCommunicationsAppliance.TRANSITIONCOMPONENT",
"communicationsApplianceTransponder","IfcCommunicationsApplianceTRANSPONDER","A transponder is a communication, monitoring, or control device that, upon receiving a signal, emits a different signal in response. Transponders can be either passive or active (e.g., electronic beacon, balise).","communications appliance transponder","IfcCommunicationsAppliance.TRANSPONDER",
"communicationsApplianceTransportEquipment","IfcCommunicationsApplianceTRANSPORTEQUIPMENT","A transport equipment is a network element responsible for providing functionality of transport, multiplexing, switching, management and supervision of transmission channels between different hosts. The data transport service uses three specific metrics: the bandwidth, the jitter, and the packet loss rate.","communications appliance transport equipment","IfcCommunicationsAppliance.TRANSPORTEQUIPMENT",
"communicationsApplianceUserDefined","IfcCommunicationsApplianceUSERDEFINED","User-defined type.","communications appliance user defined","IfcCommunicationsAppliance.USERDEFINED",
"communicationsApplianceNotdefined","IfcCommunicationsApplianceNOTDEFINED","Undefined type.","communications appliance notdefined","IfcCommunicationsAppliance.NOTDEFINED",
"distributionBoardConsumerUnit","IfcDistributionBoardCONSUMERUNIT","A distribution point on the incoming electrical supply, typically in domestic premises, at which protective devices are located.","distribution board consumer unit","IfcDistributionBoard.CONSUMERUNIT",
"distributionBoardDispatchingboard","IfcDistributionBoardDISPATCHINGBOARD","A distribution point at which voice and data communication signals are managed between communication devices.","distribution board dispatchingboard","IfcDistributionBoard.DISPATCHINGBOARD",
"boardDistributionBoard","IfcDistributionBoardDISTRIBUTIONBOARD","A distribution point at which connections are made for distribution of electrical circuits usually through protective devices.","board distribution board","IfcDistributionBoard.DISTRIBUTIONBOARD",
"frameDistributionBoard","IfcDistributionBoardDISTRIBUTIONFRAME","A distribution frame is used to interconnect and manage wiring between active equipment and subscriber. It might be composed of multiple distribution boards and other components.","frame distribution board","IfcDistributionBoard.DISTRIBUTIONFRAME",
"distributionBoardMotorcontrolcentre","IfcDistributionBoardMOTORCONTROLCENTRE","A distribution point at which starting and control devices for major plant items are located.","distribution board motorcontrolcentre","IfcDistributionBoard.MOTORCONTROLCENTRE",
"distributionBoardSwitchBoard","IfcDistributionBoardSWITCHBOARD","A distribution point at which switching devices are located.","distribution board switch board","IfcDistributionBoard.SWITCHBOARD",
"distributionBoardUserDefined","IfcDistributionBoardUSERDEFINED","User-defined type","distribution board user defined","IfcDistributionBoard.USERDEFINED",
"distributionBoardNotdefined","IfcDistributionBoardNOTDEFINED","Undefined type.","distribution board notdefined","IfcDistributionBoard.NOTDEFINED",
"electricApplianceDishwasher","IfcElectricApplianceDISHWASHER","An appliance that has the primary function of washing dishes.","electric appliance dishwasher","IfcElectricAppliance.DISHWASHER",
"cookerElectricAppliance","IfcElectricApplianceELECTRICCOOKER","An electrical appliance that has the primary function of cooking food (including oven, hob, grill).","cooker electric appliance","IfcElectricAppliance.ELECTRICCOOKER",
"freestandingheaterElectricAppliance","IfcElectricApplianceFREESTANDINGELECTRICHEATER","An electrical appliance that is used occasionally to provide heat. A freestanding electric heater is a 'plugged' appliance whose load may be removed from an electric circuit.","freestandingheater electric appliance","IfcElectricAppliance.FREESTANDINGELECTRICHEATER",
"electricApplianceFreestandingFan","IfcElectricApplianceFREESTANDINGFAN","An electrical appliance that is used occasionally to provide ventilation. A freestanding fan is a 'plugged' appliance whose load may be removed from an electric circuit.","electric appliance freestanding fan","IfcElectricAppliance.FREESTANDINGFAN",
"electricApplianceFreestandingwatercooler","IfcElectricApplianceFREESTANDINGWATERCOOLER","A small, local electrical appliance for cooling water. A freestanding water cooler is a 'plugged' appliance whose load may be removed from an electric circuit.","electric appliance freestandingwatercooler","IfcElectricAppliance.FREESTANDINGWATERCOOLER",
